Symbol,Name,ISIN,Exchange,Series,yfinance_symbol
AMARDYCHEM,AMAR DYECHEM LTD.,INE444701010,NSE,EQ,AMARDYCHEM.NS
AMBANIORGO,AMBANI ORGOCHEM LIMITED,INE00C501018,NSE,SM,AMBANIORGO.NS
AMBASARABH,AMBALAL SARABHAI  ENTER,INE432A01017,NSE,BE,AMBASARABH.NS
AMBER,AMBER ENTERPRISES (I) LTD,INE371P01015,NSE,BE,AMBER.NS
AMBEY,AMBEY LABORATORIES LTD,INE0M3I01029,NSE,SM,AMBEY.NS
AMBICAAGAR,AMBICA AGAR & AROMAINDLTD,INE792B01012,NSE,BE,AMBICAAGAR.NS
AMBIKCO,AMBIKA COTTON MILL LTD.,INE540G01014,NSE,BE,AMBIKCO.NS
AMBUJACEM,AMBUJA CEMENTS LTD,INE079A01024,NSE,BE,AMBUJACEM.NS
AMBUJELCST,AMBUJA ELECTROCASTING LTD,INE445001014,NSE,EQ,AMBUJELCST.NS
AMCL,ANB METAL CAST LIMITED,INE0VG001016,NSE,SM,AMCL.NS
AMDIND,AMD INDUSTRIES LIMITED,INE005I01014,NSE,BE,AMDIND.NS
AMEYA,AMEYA PRECISION ENG LTD,INE0KT901015,NSE,SM,AMEYA.NS
AMFORGEIND,AMFORGE INDS LTD DEPO,INE991A01012,NSE,BE,AMFORGEIND.NS
AMIABLE,AMIABLE LOGISTICS (I) LTD,INE0MTP01013,NSE,SM,AMIABLE.NS
AMJLAND,AMJ LAND HOLDINGS LIMITED,INE606A01024,NSE,BE,AMJLAND.NS
AMJUMBO,A AND M JUMBO BAGS LTD,INE749Y01014,NSE,SM,AMJUMBO.NS
AMNPLST,AMINES & PLASTICIZERS LTD,INE275D01022,NSE,BE,AMNPLST.NS
AMRUTANJAN,AMRUTAJAN HEALTH LTD,INE098F01031,NSE,BE,AMRUTANJAN.NS
AMRUTIND,AMRUT INDUSTRIES LTD,INE389801015,NSE,EQ,AMRUTIND.NS
AMTEKAUTO,AMTEL AUTO LTD,INE130C01021,NSE,BE,AMTEKAUTO.NS
ANANDRATHI,ANAND RATHI WEALTH LTD,INE463V01026,NSE,BE,ANANDRATHI.NS
ANANTRAJ,ANANT RAJ LIMITED,INE242C01024,NSE,BE,ANANTRAJ.NS
ANDHRACEMT,ANDHRA CEMENTS LIMITED,INE666E01012,NSE,BE,ANDHRACEMT.NS
ANDHRAPAP,ANDHRA PAPER LIMITED,INE435A01051,NSE,BE,ANDHRAPAP.NS
ANDHRAPET,ANDHRA PETROCHEMICALSLTD.,INE714B01016,NSE,BE,ANDHRAPET.NS
ANDHRSUGAR,ANDHRA SUGARS LTD.,INE715B01021,NSE,BE,ANDHRSUGAR.NS
ANDREWYU,ANDREW YULE & CO LTD,INE449C01025,NSE,BE,ANDREWYU.NS
ANDREWYULE,ANDREW YULE & CO. LTD,INE001501019,NSE,EQ,ANDREWYULE.NS
ANGELONE,ANGEL ONE LIMITED,INE732I01013,NSE,BE,ANGELONE.NS
ANIKINDS,ANIK INDUSTRIES LTD,INE087B01017,NSE,BE,ANIKINDS.NS
ANKITMETAL,ANKIT MET & POW LTD,INE106I01010,NSE,BE,ANKITMETAL.NS
ANLON,ANLON TECHNOLOGY SOL LTD,INE0LR101013,NSE,SM,ANLON.NS
ANMOL,ANMOL INDIA LIMITED,INE02AR01019,NSE,BE,ANMOL.NS
ANNAPURNA,ANNAPURNA SWADISHT LTD,INE0MGM01017,NSE,SM,ANNAPURNA.NS
ANONDITA,ANONDITA MEDICARE LIMITED,INE0VTV01012,NSE,SM,ANONDITA.NS
ANSALAPI,ANSAL PROP & INFRA LTD,INE436A01026,NSE,BE,ANSALAPI.NS
ANSALHSG,ANSAL HOUSING LIMITED,INE880B01015,NSE,BE,ANSALHSG.NS
ANTELOPUS,ANTELOPUS SELAN ENRGY LTD,INE818A01017,NSE,BE,ANTELOPUS.NS
ANTFRIBEAR,ANTFRIBEAR DEPO SETT.,INE779A01011,NSE,BE,ANTFRIBEAR.NS
ANTGRAPHIC,ANTARCTICA LTD,INE414B01021,NSE,BE,ANTGRAPHIC.NS
ANTHEM,ANTHEM BIOSCIENCES LTD,INE0CZ201020,NSE,BE,ANTHEM.NS
ANUHPHR,ANUH PHARMA LIMITED,INE489G01022,NSE,BE,ANUHPHR.NS
ANUP,THE ANUP ENGINEERING LTD,INE294Z01018,NSE,BE,ANUP.NS
ANURAS,ANUPAM RASAYAN INDIA LTD,INE930P01018,NSE,BE,ANURAS.NS
ANYA,ANYA POLYTECH & FERTI LTD,INE0SI601032,NSE,SM,ANYA.NS
AONEGOLD,AONEAMC - AONEGOLD,INF1J2R01114,NSE,EQ,AONEGOLD.NS
AONELIQUID,AONEAMC - AONELIQUID,INF1J2R01056,NSE,EQ,AONELIQUID.NS
AONENIFTY,AONEAMC - AONENIFTY,INF1J2R01064,NSE,EQ,AONENIFTY.NS
AONETOTAL,AONEAMC - AONETOTAL,INF1J2R01015,NSE,EQ,AONETOTAL.NS
APARINDS,APAR INDUSTRIES LTD.,INE372A01015,NSE,BE,APARINDS.NS
APCL,ANJANI PORTLAND CEM LTD,INE071F01012,NSE,BE,APCL.NS
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,INE116A01032,NSE,BE,APCOTEXIND.NS
APEX,APEX FROZEN FOODS LIMITED,INE346W01013,NSE,BE,APEX.NS
APEXECO,APEX ECOTECH LIMITED,INE0T4V01015,NSE,SM,APEXECO.NS
APLAPOLLO,APL APOLLO TUBES LTD,INE702C01027,NSE,BE,APLAPOLLO.NS
APLLTD,ALEMBIC PHARMA LTD,INE901L01018,NSE,BE,APLLTD.NS
APOLLO,APOLLO MICRO SYSTEMS LTD,INE713T01028,NSE,BE,APOLLO.NS
APOLLOHOSP,APOLLO HOSPITALS LTD-DEPO,INE437A01024,NSE,BE,APOLLOHOSP.NS
APOLLOPIPE,APOLLO PIPES LIMITED,INE126J01016,NSE,BE,APOLLOPIPE.NS
