Symbol,Name,ISIN,Series,Exchange,Type,UpdatedAt
AVSL,AVSL Industries Limited,INE522V01011,ST,NSE,SME,2026-01-03
AVTNPL,AVT Natural Products Limited,,EQ,NSE,Mainboard,2026-01-03
AWFIS,Awfis Space Solutions Limited,,EQ,NSE,Mainboard,2026-01-03
AWHCL,Antony Waste Handling Cell Limited,,EQ,NSE,Mainboard,2026-01-03
AWL,AWL Agri Business Limited,,EQ,NSE,Mainboard,2026-01-03
AXISBANK,Axis Bank Limited,,EQ,NSE,Mainboard,2026-01-03
AXISCADES,AXISCADES Technologies Limited,,BE,NSE,Mainboard,2026-01-03
AXITA,Axita Cotton Limited,,BE,NSE,Mainboard,2026-01-03
AYMSYNTEX,AYM Syntex Limited,,EQ,NSE,Mainboard,2026-01-03
AZAD,Azad Engineering Limited,,EQ,NSE,Mainboard,2026-01-03
BABAFP,Baba Food Processing (India) Limited,INE0QW501012,SM,NSE,SME,2026-01-03
BAFNAPH,Bafna Pharmaceuticals Limited,,BE,NSE,Mainboard,2026-01-03
BAGDIGITAL,B.A.G. Convergence Limited,INE17CQ01015,SM,NSE,SME,2026-01-03
BAGFILMS,B.A.G Films and Media Limited,,EQ,NSE,Mainboard,2026-01-03
BAHETI,Baheti Recycling Industries Limited,INE029Q01017,SM,NSE,SME,2026-01-03
BAIDFIN,Baid Finserv Limited,,EQ,NSE,Mainboard,2026-01-03
BAJAJ-AUTO,Bajaj Auto Limited,,EQ,NSE,Mainboard,2026-01-03
BAJAJCON,Bajaj Consumer Care Limited,,EQ,NSE,Mainboard,2026-01-03
BAJAJELEC,Bajaj Electricals Limited,,EQ,NSE,Mainboard,2026-01-03
BAJAJFINSV,Bajaj Finserv Limited,,EQ,NSE,Mainboard,2026-01-03
BAJAJHCARE,Bajaj Healthcare Limited,,EQ,NSE,Mainboard,2026-01-03
BAJAJHFL,Bajaj Housing Finance Limited,,EQ,NSE,Mainboard,2026-01-03
BAJAJHIND,Bajaj Hindusthan Sugar Limited,,EQ,NSE,Mainboard,2026-01-03
BAJAJHLDNG,Bajaj Holdings & Investment Limited,,EQ,NSE,Mainboard,2026-01-03
BAJAJINDEF,Indef Manufacturing Limited,,EQ,NSE,Mainboard,2026-01-03
BAJEL,Bajel Projects Limited,,EQ,NSE,Mainboard,2026-01-03
BAJFINANCE,Bajaj Finance Limited,,EQ,NSE,Mainboard,2026-01-03
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,,EQ,NSE,Mainboard,2026-01-03
BALAJIPHOS,Balaji Phosphates Limited,INE0PQ601019,SM,NSE,SME,2026-01-03
BALAJITELE,Balaji Telefilms Limited,,EQ,NSE,Mainboard,2026-01-03
BALAMINES,Balaji Amines Limited,,EQ,NSE,Mainboard,2026-01-03
BALAXI,BALAXI PHARMACEUTICALS LIMITED,,EQ,NSE,Mainboard,2026-01-03
BALCO,Solve Plastic Products Limited,INE0U0201016,SM,NSE,SME,2026-01-03
BALKRISHNA,Balkrishna Paper Mills Limited,,EQ,NSE,Mainboard,2026-01-03
BALKRISIND,Balkrishna Industries Limited,,EQ,NSE,Mainboard,2026-01-03
BALMLAWRIE,Balmer Lawrie & Company Limited,,EQ,NSE,Mainboard,2026-01-03
BALPHARMA,Bal Pharma Limited,,EQ,NSE,Mainboard,2026-01-03
BALRAMCHIN,Balrampur Chini Mills Limited,,EQ,NSE,Mainboard,2026-01-03
BALUFORGE,Balu Forge Industries Limited,,EQ,NSE,Mainboard,2026-01-03
BANARBEADS,Banaras Beads Limited,,EQ,NSE,Mainboard,2026-01-03
BANARISUG,Bannari Amman Sugars Limited,,EQ,NSE,Mainboard,2026-01-03
BANCOINDIA,Banco Products (I) Limited,,EQ,NSE,Mainboard,2026-01-03
BANDHANBNK,Bandhan Bank Limited,,EQ,NSE,Mainboard,2026-01-03
BANG,Bang Overseas Limited,,EQ,NSE,Mainboard,2026-01-03
BANKA,Banka BioLoo Limited,,EQ,NSE,Mainboard,2026-01-03
BANKBARODA,Bank of Baroda,,EQ,NSE,Mainboard,2026-01-03
BANKINDIA,Bank of India,,EQ,NSE,Mainboard,2026-01-03
BANSALWIRE,Bansal Wire Industries Limited,,EQ,NSE,Mainboard,2026-01-03
